"No Such Entity","No Such Entity"
"Vertex Settings","Vertex Settings"
"Use Vertex Tax Links","Use Vertex Tax Links"
"Vertex Tax Calculation","Vertex Tax Calculation"
"Vertex API Status","Vertex API Status"
"Vertex Calculation API Url","Vertex Calculation API Url"
"Vertex Address Validation API Url","Vertex Address Validation API Url"
"Vertex Trusted Id","Vertex Trusted Id"
"When to send invoice to Vertex","When to send invoice to Vertex"
"Invoice When Order Status","Invoice When Order Status"
"Use Vertex for orders shipping to","Use Vertex for orders shipping to"
"The billing address will be used when a shipping address is absent.","The billing address will be used when a shipping address is absent."
"Summarize Tax by","Summarize Tax by"
"Please select how Tax should be summarized","Please select how Tax should be summarized"
"Vertex Company Information","Vertex Company Information"
"Company Code","Company Code"
"Location Code","Location Code"
"Company Street Address","Company Street Address"
"Company Street Address 2","Company Street Address 2"
"Company City","Company City"
"Company Country","Company Country"
"Company State","Company State"
"Company Postal Code","Company Postal Code"
"Vertex Delivery Terms","Vertex Delivery Terms"
"Global Delivery Term","Global Delivery Term"
"Delivery Term Override","Delivery Term Override"
"Override the Global Delivery Term based on the country being shipped to","Override the Global Delivery Term based on the country being shipped to"
"Vertex Shipping Product Codes","Vertex Shipping Product Codes"
"Default Customer Code","Default Customer Code"
"Refund Adjustments Class","Refund Adjustments Class"
"Adjustment Fee Code","Adjustment Fee Code"
"Adjustment Refund Code","Adjustment Refund Code"
"Gift Wrap For Order Class","Gift Wrap For Order Class"
"Gift Wrap For Order Code","Gift Wrap For Order Code"
"Gift Wrap Class For Single Product","Gift Wrap Class For Single Product"
"Gift Wrap Code Prefix For Single Product","Gift Wrap Code Prefix For Single Product"
"Item Line Class For Printed Gift Card","Item Line Class For Printed Gift Card"
"Item Line Code For Printed Gift Card","Item Line Code For Printed Gift Card"
"Class For Reward Points Discount Line Item","Class For Reward Points Discount Line Item"
"Product Code For Reward Points Discount Line Item","Product Code For Reward Points Discount Line Item"
"Vertex Logging","Vertex Logging"
"Vertex Request Logging","Vertex Request Logging"
"When enabled, all API requests are tracked.","When enabled, all API requests are tracked."
"Log Rotation","Log Rotation"
"Perform an action on logs over a certain age at a regular interval","Perform an action on logs over a certain age at a regular interval"
"Rotation Action","Rotation Action"
"When exported, entries are stored at <strong>var/vertexlog_Y-m-d.csv</strong>","When exported, entries are stored at <strong>var/vertexlog_Y-m-d.csv</strong>"
"Log Entry Lifetime (days)","Log Entry Lifetime (days)"
"How long a log should exist before it is eligible to be rotated. A value of 0 will mark all logs as eligible","How long a log should exist before it is eligible to be rotated. A value of 0 will mark all logs as eligible"
"Rotation Frequency","Rotation Frequency"
"How often the Rotation Action should be applied to the logs","How often the Rotation Action should be applied to the logs"
"Rotation Time","Rotation Time"
Vertex,Vertex
"Vertex tax calculation data","Vertex tax calculation data"
"Vertex Customer Code","Vertex Customer Code"
"Vertex Messages","Vertex Messages"
"North America","North America"
"Asia Pacific","Asia Pacific"
"Central/South America","Central/South America"
"EMEA","EMEA"
"Others","Others"
"Address Incomplete, Missing: %1","Address Incomplete, Missing: %1"
"Unable to connect to Address Validation API","Unable to connect to Address Validation API"
"Unable to validate address against API","Unable to validate address against API"
"Unable to connect to Calculation API","Unable to connect to Calculation API"
"Unable to perform quote request","Unable to perform quote request"
"Automatically Disabled","Automatically Disabled"
"Configuration Incomplete, Missing: %1","Configuration Incomplete, Missing: %1"
"Field ID","Field ID"
"Data Source","Data Source"
"Code Fields","Code Fields"
"Flexible Code fields are alphanumeric string values with a maximum length of 40 characters. Strings that exceed the size limit will be truncated. You can create no more than 25 flexible code fields.","Flexible Code fields are alphanumeric string values with a maximum length of 40 characters. Strings that exceed the size limit will be truncated. You can create no more than 25 flexible code fields."
"Numeric Fields","Numeric Fields"
"Flexible Numeric fields accept numeric values for data, such as durations and weights, including floating decimal points. You can create no more than 10 flexible numeric fields.","Flexible Numeric fields accept numeric values for data, such as durations and weights, including floating decimal points. You can create no more than 10 flexible numeric fields."
"Date Fields","Date Fields"
"Flexible Date fields accept dates in the format YYYY/MM/DD. You can create no more than 5 flexible date fields.","Flexible Date fields accept dates in the format YYYY/MM/DD. You can create no more than 5 flexible date fields."
"Product Type","Type"
"First Name","First Name"
"Last Name","Last Name"
"Middle Name","Middle Name"
"Store ID","ID"
"Birthdate","Birthdate"
"Customer","Customer"
"Product","Product"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Store","Store"
"Order","Order"
"Destination Address","Destination Address"
"N/A","N/A"
